5000 30000
3603 1299 6
1917 1459 3
2979 4629 5
2549 2916 2
2841 286 5
944 1477 3
2958 1026 6
499 1901 8
489 4936 1
2289 1190 3
413 2159 7
4066 636 7
4956 819 3
2201 2775 8
3273 2490 2
3338 818 6
3757 2822 9
1860 1939 6
3665 195 5
3854 361 8
3362 3497 2
1089 4917 8
257 3233 3
2689 2159 4
2478 2579 9
543 2524 10
4296 1286 5
89 3325 8
4420 831 6
2846 4820 3
1454 516 6
952 3879 1
3982 235 4
4541 1077 7
4885 2365 8
472 3134 3
1230 225 4
474 2713 10
550 1278 3
2455 2740 5
939 2321 2
967 3593 2
4592 1356 4
1668 2591 1
640 2503 1
1419 304 5
1027 4482 7
1945 2753 1
529 3777 1
511 4468 8
4123 4649 3
4002 4389 5
1895 2389 1
4419 1025 3
210 249 8
4860 1342 4
1404 2617 3
4095 2616 9
1182 1360 3
3018 1669 10
674 2010 3
2767 2544 7
4420 2097 9
717 3841 9
3825 481 7
3193 3059 8
4700 4535 8
138 2435 9
2631 2787 10
2121 1899 8
3983 954 2
4960 2841 8
885 2737 9
2983 1765 3
4014 3065 3
2946 1698 7
2318 3824 3
4727 3350 10
1036 3896 2
2690 2491 3
762 1681 10
322 437 1
1909 1620 10
1272 4625 10
1523 2075 9
420 632 9
2192 286 3
4865 4968 1
2839 3136 2
4022 2307 8
2530 4685 9
4595 170 10
318 4918 2
1804 4693 9
2309 4767 5
2449 1891 8
4214 2848 3
4850 2348 1
3688 753 5
2930 4116 2
821 828 9
2379 4676 3
3112 3829 10
4647 3365 8
4549 198 6
1234 732 8
4118 1252 10
812 4824 4
1966 3445 6
4909 4385 4
2922 1461 7
4639 1514 10
864 564 7
1918 4525 7
1752 701 7
2447 3845 8
928 980 2
1044 3154 5
1865 1135 2
4311 4412 2
4948 529 8
3787 3275 7
4165 1589 4
2820 3789 8
1081 1866 4
119 4971 7
3631 192 9
4876 4413 7
1884 125 10
2623 4434 5
2809 3357 8
4335 2128 2
2151 1731 3
4192 844 4
1104 17 3
866 4207 1
2974 704 9
2519 2132 2
3346 375 10
3354 4486 5
833 3398 8
4500 1112 5
3550 311 6
646 2806 2
4596 4211 6
4291 3029 3
844 3042 4
1721 1639 4
3061 1520 2
2461 3238 5
2671 763 5
830 3090 6
3253 2635 4
2454 1049 10
3839 656 4
333 2069 6
4962 1839 4
4856 4010 8
4675 210 10
4982 3759 2
387 1555 5
1385 3115 8
2182 4010 4
2251 7 5
1709 4017 9
4721 1595 1
2208 2037 8
1763 3999 10
1157 4472 4
399 4845 1
992 913 6
532 2790 2
3366 3548 1
252 4860 6
1400 992 7
4593 853 4
837 2317 5
2568 22 10
1 284 6
3461 1025 5
2378 2246 7
52 1926 4
3592 4012 3
3078 386 8
2857 1511 1
1384 3933 10
3464 2031 1
2182 2443 8
4393 3349 8
1839 4906 6
577 4071 4
775 3786 9
1164 2824 9
2680 2736 10
1624 2632 4
4749 4713 4
2247 1269 4
342 585 5
2912 2585 2
2040 2878 3
380 398 9
4569 3833 4
1585 4905 8
1946 1959 2
1054 4359 6
2599 2190 7
496 3686 10
3614 1113 10
3587 4866 4
3638 117 6
271 2859 6
1675 1834 10
4304 4542 1
1188 2720 1
2461 3665 9
3504 4421 7
2288 3964 9
841 774 3
4647 1880 7
3056 1926 3
1615 507 10
1643 2146 7
1480 661 2
1287 2085 5
3542 2140 10
2579 3721 5
2879 2398 10
4005 4487 9
4630 4904 8
1110 3397 6
1320 1228 7
3587 1947 10
2578 2129 5
2558 2367 3
1581 4881 9
2909 4337 2
1351 1358 2
1722 1051 2
4869 3219 1
871 3314 1
4735 4452 5
524 4013 7
4093 4992 3
11 4555 8
230 4858 4
4146 3285 6
2117 3842 6
2810 4818 6
1891 2179 2
3384 1502 2
390 1860 7
49 3190 1
2066 793 10
3524 4916 3
842 742 9
1574 2753 7
1433 856 10
522 4269 5
1851 278 1
139 3760 5
1849 4170 5
1833 2544 6
3312 2176 5
923 2118 8
2575 4762 1
1958 4262 3
3828 2160 6
2299 157 1
2683 674 9
3720 1862 3
2400 1822 10
3315 918 3
2984 4489 8
4083 2949 8
1372 857 3
3989 4259 10
1356 775 6
4729 980 5
1482 1607 10
4957 4937 6
2665 3627 6
3870 1587 8
4459 188 7
4898 1259 5
2693 3984 5
3723 4326 8
965 3017 7
2716 3084 7
3870 2308 3
1015 894 8
1908 4263 8
143 1549 2
1705 3914 5
3232 4699 7
847 348 3
3520 4200 2
2012 4304 6
3728 1647 10
1406 1318 7
1941 2002 10
2745 3499 7
4438 1430 6
4282 4135 3
1154 1127 1
462 1001 7
2467 1476 2
636 2264 8
4841 3906 1
2083 1640 5
4647 4559 7
2786 896 3
3233 1875 3
194 4462 2
3827 2046 9
943 566 5
1748 1278 7
4173 2688 2
2160 649 2
1394 294 10
1818 2417 1
540 1815 10
4159 1186 4
577 3369 3
650 4756 4
733 4584 7
1315 1227 4
3662 1465 8
4641 3807 1
416 2052 6
3357 2194 10
3250 723 10
3300 4809 10
2970 1624 5
3943 4026 2
4480 1669 3
1156 2108 2
1114 2533 4
2195 1923 9
1181 435 6
135 1576 4
546 698 4
2597 236 5
1038 821 8
879 4231 2
2951 2281 10
1542 4975 1
1930 1028 4
4381 742 6
924 648 7
3506 2157 8
3289 557 3
2006 3821 2
2947 3378 4
125 2746 6
2315 4868 4
3466 4872 2
4205 1157 4
2466 963 9
4805 2493 7
3576 2526 4
2971 213 2
236 4655 5
4065 4767 6
246 1400 2
1293 209 9
3209 315 7
3045 1114 7
40 1302 5
2306 1845 5
388 2698 6
2623 1460 5
2616 2702 9
1385 3496 4
3722 3924 7
2326 2366 8
461 4342 8
4527 1670 8
1439 245 8
1435 4557 2
3991 35 3
1633 1137 10
1114 2441 2
2817 1430 1
4666 4106 4
3251 212 7
215 2022 4
3506 4825 8
2272 3502 3
1129 2513 7
588 3594 5
636 1201 8
636 1210 7
3910 212 10
3822 2789 3
4411 1099 10
3525 1953 6
1618 3943 9
2964 3425 10
32 1029 4
4392 2652 1
3225 376 9
1997 521 9
3113 1378 5
2434 603 9
2976 3944 9
2382 2391 6
3282 3924 10
573 3278 10
866 1429 9
239 3810 10
4868 696 8
1408 4662 1
3724 795 3
2551 863 9
2228 2945 7
2740 1047 2
965 2518 7
2493 1006 2
2462 326 4
3156 680 9
1482 2595 7
497 1271 1
3059 1605 3
2157 1685 4
3656 2688 8
866 4206 5
2312 3389 9
4056 4531 3
4354 882 1
386 644 5
2112 2918 6
2980 1070 2
940 1550 1
1502 2655 6
1660 20 5
4382 3183 7
2968 3250 5
2691 941 4
3849 1293 10
2525 1385 5
801 4037 8
798 2164 4
99 551 9
4874 4710 9
2822 1860 10
4602 941 10
2080 4774 8
4662 1692 7
720 1943 2
3928 4465 8
4959 4484 6
2383 485 10
47 2644 6
4530 1379 1
57 3522 8
2732 1742 9
1681 267 1
2025 4288 2
488 1870 5
2398 1783 7
3644 4681 8
1864 3956 1
966 4621 3
3898 2436 1
2645 2473 10
2289 4142 1
2504 1548 6
2893 4003 2
2208 992 7
4134 197 5
4517 2146 1
1959 2206 4
2747 3959 7
3267 2348 6
4161 2945 9
4500 923 6
1590 1103 8
3267 2588 9
2942 1229 8
422 1825 4
4501 3816 4
1552 1016 4
396 899 3
2551 2653 7
4808 36 10
935 1622 1
2391 3014 4
1279 3445 9
3113 2018 5
4715 2268 4
3050 4494 6
985 2012 2
136 1293 2
240 2272 6
2122 1923 4
1267 2439 2
2883 2230 4
2804 1636 8
741 73 9
2037 1206 7
817 4575 3
3722 3785 9
4084 2100 8
2 3558 8
776 4875 2
631 4714 2
3782 2726 9
573 1397 5
892 4194 10
993 3180 6
1998 4030 3
2734 967 10
2179 3217 6
2460 4284 8
639 4732 4
1974 4273 8
4718 2209 3
4943 3240 1
1365 4714 9
4439 363 1
433 2927 2
255 4618 2
3807 3006 6
192 874 3
982 2269 5
338 3665 8
1116 2478 2
2463 4966 4
4087 1896 9
4327 1802 1
2235 1267 2
3832 824 5
2650 1473 9
2677 2255 8
1895 873 7
4342 1992 3
777 4144 2
4241 694 5
4849 1302 8
3023 1581 4
1401 4102 10
4444 4788 9
1440 4537 2
3637 142 10
978 1673 7
2117 4507 8
4478 4933 8
835 2552 6
768 2206 1
1003 1097 9
4899 3431 5
4876 4799 4
4009 498 4
29 4425 4
1263 708 9
35 1378 3
1535 2530 1
3430 3135 6
4564 1887 8
3118 2641 7
3807 685 10
3739 1848 2
3706 4058 10
1629 4010 5
4763 4758 7
903 2552 10
606 595 3
3154 28 10
4828 3878 1
514 1727 9
2948 569 3
4185 2042 6
1452 1626 4
2269 3110 2
2307 4287 8
659 1340 5
3242 4929 5
1050 4165 10
2634 408 9
1189 2050 8
4918 3129 1
4474 1984 10
921 4148 1
4047 2258 9
1559 1451 8
2718 2555 10
314 1394 5
1866 4419 4
1418 4292 8
2235 3146 4
2393 4319 10
3193 4593 6
4181 869 4
216 598 2
4873 3398 9
1723 4267 3
1788 3102 4
289 4084 4
3952 800 8
1176 2227 10
1828 4870 1
3697 335 7
589 1215 2
3267 1773 1
4189 935 7
4028 4072 10
2880 1686 7
120 3059 5
4204 176 6
388 1820 1
4986 4923 1
806 752 5
2865 3683 4
1005 158 7
135 952 5
4430 3050 10
3157 3416 1
906 414 4
552 4878 10
3285 3245 10
1759 3138 7
3689 322 7
2308 2420 6
366 1453 6
233 2329 8
4069 1883 5
1313 799 6
52 219 6
3790 239 7
1403 418 8
679 3434 2
863 3580 4
3022 2128 2
3639 2348 10
2213 2720 7
2421 3277 5
3189 1260 7
4032 2763 3
824 4783 10
1596 3066 3
1447 3823 3
1322 2110 5
3880 2200 9
3789 688 6
2343 3171 5
2155 1267 2
4860 3109 4
2299 2921 7
4530 1012 7
1704 2723 4
1800 2002 8
460 3992 4
1887 1948 1
4481 446 3
861 175 4
1111 4821 6
4873 3001 2
2906 80 4
3834 493 10
4423 611 3
4568 3276 4
2332 2052 7
609 2312 8
3999 3887 1
316 2643 1
788 1911 10
3652 2284 5
135 786 1
4066 2434 4
3042 1199 2
1040 1803 2
1223 2330 2
4907 1493 8
1181 2452 10
818 4750 10
4418 4549 10
3755 3194 2
1469 655 2
2961 1754 3
1644 1887 9
990 837 6
3361 282 5
1972 4629 7
4735 2381 2
401 1971 5
4443 4536 3
4612 2281 6
690 570 7
2831 1196 6
473 3413 4
2404 1040 3
588 4305 1
2194 3843 1
1541 4176 10
1879 1426 6
2856 1148 4
2965 2088 3
119 408 2
1506 1435 7
2841 4812 10
1175 1584 9
3266 556 7
4515 609 1
625 3321 5
2409 3027 7
4053 3574 2
4233 3876 5
4381 140 6
4538 3719 1
3403 594 3
2310 967 6
3019 4234 10
2970 3172 10
3653 4435 9
4210 3415 8
2630 2019 5
2406 55 1
3158 4462 7
3433 4769 8
4857 539 9
27 2747 8
2272 2882 7
3918 953 10
3403 288 9
1245 4709 2
549 3911 9
401 4408 8
3498 2100 10
345 3118 4
513 1374 10
462 2190 2
1612 4292 8
4833 4207 2
1663 9 1
544 936 4
4682 2250 3
4128 4713 9
2929 1748 9
4485 1908 10
2238 2087 8
3638 315 7
4932 3051 5
4627 1700 6
2998 1916 1
3789 280 6
1491 1533 3
1355 4504 4
4769 1635 5
1204 2575 7
1659 97 3
3811 1614 2
923 304 3
3659 2165 4
479 31 5
2202 838 1
668 2661 6
4496 3705 8
1253 2537 8
935 1762 4
3014 518 2
4185 2070 6
3145 587 1
442 355 2
2158 2745 9
1866 4167 3
3337 4055 10
1734 466 2
370 2362 3
360 4286 8
865 1558 1
3862 1661 2
3957 1205 9
966 3077 3
1712 1387 10
2175 1776 6
1415 4461 1
4120 3105 7
851 4546 6
4870 3367 6
4185 2307 6
4909 4276 10
729 4936 5
3940 898 10
1688 4714 8
4353 947 8
4031 2483 1
3542 1793 1
1519 114 3
1227 4264 6
837 3798 9
1016 4168 1
1746 2842 7
1868 32 5
4792 4901 9
3292 2764 7
368 3812 10
2833 2087 1
3681 727 3
702 3750 9
1850 2339 6
2058 4234 5
983 3667 6
2116 2511 6
682 127 10
171 3238 2
1385 4195 8
2764 1966 5
4661 1827 3
4753 4577 8
3542 4216 10
1453 3198 2
4084 773 1
4296 1038 8
1529 2709 7
4162 3644 6
1511 4584 3
85 4268 10
2999 640 10
2851 936 3
3036 1990 3
4991 2649 6
1860 61 8
957 4714 6
3831 3089 1
2594 4539 8
61 1181 2
2253 1735 9
1235 1787 9
2567 2496 3
1231 1679 4
3912 2748 10
376 2364 9
4221 727 4
4768 1516 7
390 2090 8
429 4371 2
4171 2094 8
268 3688 7
3048 4907 7
1848 3248 6
3834 1837 8
1972 4600 9
1958 980 10
2315 585 3
2182 2732 9
506 3534 6
4294 2748 5
2474 2234 1
3949 2057 8
2520 1516 6
2505 1413 9
4707 4986 5
307 2957 2
2170 1695 10
454 3360 5
1662 3474 5
1220 1807 3
1393 675 2
3029 1686 6
2157 16 7
1866 2217 3
4274 495 2
1140 3523 8
461 4125 1
273 4146 9
1007 4089 10
3989 4054 2
854 1811 2
4088 4308 7
1668 4549 6
4156 648 6
3648 3923 9
163 712 10
1380 3065 7
1403 4722 9
831 3181 4
118 366 8
21 4460 9
3535 3514 4
1520 1488 7
1931 690 10
3330 4368 4
4575 2390 6
2893 916 1
2663 2115 4
528 4925 10
3675 2474 3
3653 4950 6
4953 2806 10
1828 1870 9
1019 1983 6
3480 803 7
2500 3675 3
4779 457 9
2170 621 7
4338 3583 4
3222 4094 7
4618 1450 2
1217 851 1
4789 3207 9
3082 1841 9
3103 3385 1
1600 3877 3
1757 1093 7
4354 4544 5
4839 4757 4
34 1222 10
2294 123 6
3392 3317 1
4954 4999 4
559 3654 2
9 1603 6
4062 2454 2
1228 1764 2
1991 4597 7
3592 1718 10
2356 4884 5
2678 3973 6
1404 1832 9
4782 2203 9
3353 4949 8
1701 2104 9
2481 788 5
1882 4962 8
1045 2125 1
2233 1771 2
633 4921 5
4101 2129 3
3965 4385 2
585 1975 3
4002 418 6
4171 1670 2
2512 2252 8
3005 3731 7
3667 1690 5
3895 2428 10
449 4821 10
3252 898 1
1723 2769 2
3474 859 10
3797 489 3
560 1055 8
3420 4984 7
1397 4410 3
1567 4925 6
383 119 6
1215 945 8
749 4448 9
113 4392 3
811 4455 7
4433 3082 1
511 1963 7
1637 4335 8
253 3719 10
2205 2820 7
1989 4503 9
1739 3424 8
1501 1574 1
2938 2479 3
4032 427 9
750 2515 3
3957 1816 4
3968 2249 10
1646 432 7
3010 934 10
95 3284 5
4191 824 5
502 2643 1
4303 16 8
3124 1026 1
40 443 4
1314 1651 2
1860 1385 2
2384 3228 5
2415 32 5
2396 2174 1
3021 1593 10
2258 859 2
1800 1977 2
4645 744 3
934 1062 2
4104 3917 5
2401 817 10
2330 4158 7
2372 4578 6
1251 2908 1
304 3287 6
3064 1017 5
3632 1259 8
2734 3930 2
1574 1224 10
506 3414 7
1943 733 4
3150 436 5
4666 1329 5
1200 2845 7
3944 3878 7
1237 4436 3
314 421 5
1882 2415 1
4661 3353 5
1023 2451 2
1015 4117 4
4630 2189 3
4077 1110 6
1881 4045 9
1688 2662 1
2975 4198 6
1584 159 5
1686 3718 2
762 3191 7
1270 672 3
787 3150 7
3180 1829 4
2725 963 2
2750 218 10
4942 206 2
1832 1407 2
2658 3420 3
1242 3985 3
3972 1616 3
4230 4831 9
4570 4258 9
2618 1457 2
3802 2735 7
4411 612 5
1578 1971 3
4759 4614 8
651 4909 7
3046 1507 7
2493 2035 3
3291 1162 1
3154 1199 3
4116 797 7
1538 1381 8
2413 3976 2
1216 367 4
260 732 10
3159 2450 10
1892 218 1
3304 2546 4
3563 2281 10
2581 1106 6
2954 3880 4
4913 2818 10
2344 2360 2
3365 2930 2
3074 313 2
2691 4964 4
4195 3728 1
3770 477 5
69 3006 7
4277 1612 4
1802 2197 10
505 4326 10
1026 4196 6
2166 3664 9
1285 3432 10
2110 3437 10
1125 2098 7
2738 2915 4
819 3513 9
1728 1320 3
1546 2571 6
998 4675 5
171 538 2
2031 1925 3
529 4173 4
2782 4389 8
2408 4671 6
4828 3077 1
1700 2010 1
4350 4888 3
1152 140 10
360 3802 6
2735 4598 9
2287 1215 10
652 1606 1
1129 1924 5
2864 1114 8
3012 2348 4
3373 462 8
610 3273 1
1032 4496 10
2037 3433 1
2716 3643 9
4034 3812 3
2409 2775 2
2995 2880 4
3451 528 9
3367 1553 6
4273 3473 4
3549 151 7
4603 861 1
2331 1878 7
3949 3530 3
4529 1348 7
2022 3384 7
471 387 4
17 2291 2
4782 2312 9
4662 4174 4
238 629 6
2672 87 9
3241 2537 4
2781 1430 5
1901 2615 3
4991 3252 8
2854 1168 5
1375 2591 8
2833 4403 5
471 262 3
1184 1765 4
533 3283 1
1536 576 7
1955 1064 10
1244 4863 1
148 947 6
4820 2509 2
1167 4307 4
674 3961 10
3422 1843 6
1613 3701 9
2282 2571 8
2396 3937 3
359 4192 2
4157 1947 5
2134 2968 7
2972 771 7
330 2129 6
1137 737 7
3789 194 4
1425 3335 3
3109 2251 8
710 835 7
1638 928 2
4153 2294 5
1843 4673 9
4698 4905 6
2041 2081 8
3060 2259 7
1466 2499 9
1372 390 9
2503 2436 4
2608 4607 10
3604 1101 6
141 3251 7
838 4364 1
4624 1517 8
4793 2811 8
4144 2615 9
3796 175 1
866 4697 7
1005 99 8
2807 2219 1
3410 577 2
632 2195 3
3798 2 4
376 4409 10
451 3012 10
670 1176 4
1362 643 1
1399 2429 9
4933 402 3
3957 3954 8
286 1069 1
4180 1832 8
1456 2517 7
3079 175 1
98 91 7
408 1289 8
845 1214 1
3627 208 1
2092 3209 5
2955 620 3
3824 516 2
35 1484 10
4418 4445 7
3641 2648 4
3089 4479 8
1411 4076 2
1028 404 5
3294 972 4
4512 500 3
427 4328 8
4377 1862 7
2070 1002 6
1088 1563 10
2808 2906 7
4313 555 3
234 4015 1
4814 62 7
1552 10 8
4212 2807 10
3855 1481 6
3409 20 1
4596 1802 5
2409 4723 10
3592 1930 7
3236 2111 5
1666 1411 1
2137 4525 8
3150 3941 9
3003 362 7
3475 3568 9
3638 3530 7
1566 2167 4
3626 1118 8
1873 1681 10
2102 1619 10
1716 1144 7
988 1070 8
1804 3820 6
212 3517 5
1870 1290 3
1323 833 9
3030 1311 10
4546 1477 1
1451 2737 10
84 1415 5
4981 2425 9
3280 1203 1
756 1229 1
4389 4255 6
2433 1705 10
3576 4116 2
266 1628 9
1586 1271 9
4294 2343 10
445 4774 3
2434 3547 2
4652 165 8
3914 4915 6
385 2591 6
3438 3294 5
4755 2661 1
794 955 6
703 1967 1
37 2278 5
1053 2899 7
578 2009 4
1385 1470 10
973 2139 6
1992 3923 1
3044 2628 6
2386 4408 10
551 2459 4
1029 2070 10
234 549 5
351 4367 4
3228 2834 8
3110 1679 7
4710 2166 8
3522 3065 8
1742 619 10
1602 1694 7
3017 4375 4
4215 4540 7
4320 934 5
4238 1500 1
3273 3336 7
1811 1942 6
809 4274 2
1094 3639 5
3944 2118 5
97 2753 9
3710 269 6
2517 3064 6
1978 1584 2
4872 1181 3
1208 1145 8
114 2714 8
2567 4650 10
2594 3928 7
4950 2826 2
3195 2941 5
33 2444 9
4574 27 8
563 3006 7
918 3 1
1487 4467 1
1232 3734 6
537 3796 7
2518 4018 1
523 1377 4
2080 886 6
4607 1393 3
3204 2755 7
4824 3113 10
1488 1197 10
3865 719 8
3014 937 6
4959 910 6
370 3339 7
1063 3574 4
1748 998 2
459 2597 9
4362 1250 6
3872 112 8
1809 4409 2
3227 272 9
872 2999 3
3998 2528 8
1999 1156 2
535 4844 4
586 4463 6
1341 883 6
3566 916 5
3022 813 9
247 1487 5
904 1635 10
4839 3001 7
3054 3097 6
3926 3321 10
1748 3079 10
300 217 1
220 4907 7
209 1339 7
3545 167 6
3666 3783 1
31 1698 7
821 2912 2
4748 2791 1
2507 4400 1
4816 4025 10
4203 4076 6
1618 1089 9
2357 1673 9
3355 1215 2
1868 4332 6
2986 1329 1
1095 4658 3
1171 1362 8
3720 4476 5
2873 899 4
4461 855 5
602 3208 7
4120 4092 4
307 2784 6
18 225 3
2152 3111 6
4862 1292 1
4423 1153 9
2126 4863 2
4622 4526 3
3537 3487 1
1619 2467 5
856 1642 4
2570 436 8
614 3557 5
3290 1501 1
1254 3160 6
933 1423 9
1003 661 3
907 518 1
1411 2361 3
1506 2240 6
3374 2891 2
1979 3330 3
4153 2136 5
1577 445 10
4134 397 9
2044 3446 1
3479 4123 4
1716 871 1
4344 4059 10
607 2602 1
4045 2645 6
1241 646 6
2021 2679 5
632 1559 7
3565 1131 4
4609 313 9
2554 2714 8
3976 4546 10
908 893 7
2695 523 7
769 4601 3
2376 4232 8
3226 319 7
76 3475 10
214 839 4
1891 1291 4
3023 1937 5
4410 4499 2
892 4892 9
4276 1060 7
831 2106 3
199 2411 10
3858 982 2
1657 4753 7
2160 2059 7
1956 3583 5
2745 2318 4
3968 1481 2
1169 1003 1
4501 4342 2
2887 2125 8
3289 853 9
549 3862 4
507 3437 10
3177 4560 5
1867 194 8
3169 4018 5
4080 692 8
4444 2113 5
4034 4437 4
3106 2900 10
4434 3767 10
3621 2575 7
401 1670 4
1091 2856 2
2283 2369 9
146 640 7
3476 609 2
1517 967 10
767 2348 3
2176 2669 5
952 4297 9
2048 4349 9
334 4763 2
4151 942 6
1246 3918 2
4122 4851 9
4212 2068 4
420 1815 5
3605 4776 8
4854 3618 1
671 152 10
3710 1514 6
2550 4581 6
2031 3344 2
4880 918 7
4843 3454 3
1654 1000 5
4660 3855 5
2453 888 3
3099 1080 10
1311 3090 8
3359 4195 4
1581 2227 8
3461 4400 7
1775 4638 6
3305 3747 3
4165 3829 5
761 647 2
4948 2935 7
304 2076 7
1586 610 8
4911 3295 4
3423 1669 5
3213 1618 2
4552 2352 10
894 594 5
1880 1793 6
2647 3191 7
417 3789 9
4407 1151 2
498 3165 5
1020 4872 5
2337 45 6
3156 1458 2
568 1816 1
3105 901 3
2657 32 7
4339 858 6
95 4544 5
744 4033 1
3657 3139 9
2536 3136 2
3597 2945 8
634 4058 1
1539 2551 9
4490 2614 1
